"","date","hour","day","month","count","year"
"319",2012-12-14,"6","Friday","Dec",6,"2012"
"320",2012-12-14,"7","Friday","Dec",1,"2012"
"321",2012-12-14,"8","Friday","Dec",0,"2012"
"322",2012-12-14,"9","Friday","Dec",6,"2012"
"323",2012-12-14,"10","Friday","Dec",9,"2012"
"324",2012-12-14,"11","Friday","Dec",5,"2012"
"325",2012-12-14,"12","Friday","Dec",3,"2012"
"326",2012-12-14,"13","Friday","Dec",5,"2012"
"327",2012-12-14,"14","Friday","Dec",8,"2012"
"328",2012-12-14,"15","Friday","Dec",10,"2012"
"329",2012-12-14,"16","Friday","Dec",5,"2012"
"330",2012-12-14,"17","Friday","Dec",7,"2012"
"331",2012-12-14,"18","Friday","Dec",8,"2012"
"332",2012-12-14,"19","Friday","Dec",6,"2012"
"333",2012-12-14,"20","Friday","Dec",3,"2012"
"334",2012-12-14,"21","Friday","Dec",5,"2012"
"335",2012-12-14,"22","Friday","Dec",7,"2012"
"336",2012-12-14,"23","Friday","Dec",0,"2012"
"337",2012-12-15,"0","Saturday","Dec",5,"2012"
"338",2012-12-15,"1","Saturday","Dec",1,"2012"
"339",2012-12-15,"2","Saturday","Dec",5,"2012"
"340",2012-12-15,"3","Saturday","Dec",2,"2012"
"341",2012-12-15,"4","Saturday","Dec",5,"2012"
"342",2012-12-15,"5","Saturday","Dec",2,"2012"
"343",2012-12-15,"6","Saturday","Dec",0,"2012"
"344",2012-12-15,"7","Saturday","Dec",2,"2012"
"345",2012-12-15,"8","Saturday","Dec",4,"2012"
"346",2012-12-15,"9","Saturday","Dec",6,"2012"
"347",2012-12-15,"10","Saturday","Dec",3,"2012"
"348",2012-12-15,"11","Saturday","Dec",6,"2012"
"349",2012-12-15,"12","Saturday","Dec",8,"2012"
"350",2012-12-15,"13","Saturday","Dec",13,"2012"
"351",2012-12-15,"14","Saturday","Dec",11,"2012"
"352",2012-12-15,"15","Saturday","Dec",7,"2012"
"353",2012-12-15,"16","Saturday","Dec",4,"2012"
"354",2012-12-15,"17","Saturday","Dec",4,"2012"
"355",2012-12-15,"18","Saturday","Dec",7,"2012"
"356",2012-12-15,"19","Saturday","Dec",8,"2012"
"357",2012-12-15,"20","Saturday","Dec",3,"2012"
"358",2012-12-15,"21","Saturday","Dec",8,"2012"
"359",2012-12-15,"22","Saturday","Dec",5,"2012"
"360",2012-12-15,"23","Saturday","Dec",8,"2012"
"361",2012-12-16,"0","Sunday","Dec",4,"2012"
"362",2012-12-16,"1","Sunday","Dec",5,"2012"
"363",2012-12-16,"2","Sunday","Dec",4,"2012"
"364",2012-12-16,"3","Sunday","Dec",3,"2012"
"365",2012-12-16,"4","Sunday","Dec",1,"2012"
"366",2012-12-16,"5","Sunday","Dec",1,"2012"
"367",2012-12-16,"6","Sunday","Dec",0,"2012"
"368",2012-12-16,"7","Sunday","Dec",4,"2012"
"369",2012-12-16,"8","Sunday","Dec",4,"2012"
"370",2012-12-16,"9","Sunday","Dec",4,"2012"
"371",2012-12-16,"10","Sunday","Dec",3,"2012"
"372",2012-12-16,"11","Sunday","Dec",7,"2012"
"373",2012-12-16,"12","Sunday","Dec",8,"2012"
"374",2012-12-16,"13","Sunday","Dec",6,"2012"
